Timestamp,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,Label
11000,1.8,-1.04,4.76,0.19,0.93,-0.11,Wrong
12000,1.28,0.73,8.12,0.28,0.94,0.01,Wrong
12541,1.22,2.62,1.28,0.07,0.41,0.93,Correct
12646,0.06,-1.04,2.26,0.01,0.98,0.08,Correct
13000,5.86,5.68,4.39,0.32,0.99,-0.15,Wrong
13541,0.61,1.59,1.83,0.13,0.43,0.89,Correct
14000,8.12,-6.16,2.81,0.11,1.03,-0.09,Wrong
14541,0.79,-1.28,1.34,0.14,0.43,0.88,Correct
15000,15.63,-11.47,2.38,0.06,0.97,0.16,Wrong
15541,0.55,-0.73,1.46,0.14,0.44,0.89,Correct
16000,-17.88,15.69,3.66,0.07,0.96,0.01,Wrong
16541,0.98,-0.79,1.34,0.15,0.43,0.89,Correct
17000,-0.98,-5.25,-4.27,0.16,0.98,-0.15,Wrong
17541,1.1,-2.44,1.22,0.13,0.43,0.89,Correct
18000,-2.5,-1.77,0.79,0.21,0.92,-0.08,Wrong
18541,0.73,-0.06,1.83,0.11,0.43,0.9,Correct
19000,2.26,-5.62,-1.95,0.19,0.93,-0.09,Wrong
19541,0.24,-0.37,1.53,0.11,0.43,0.9,Correct
20000,-0.98,5.43,5,0.23,0.95,-0.09,Wrong
20541,0.73,-0.55,1.22,0.12,0.43,0.9,Correct
21000,1.16,0.49,1.65,0.16,0.96,-0.1,Wrong
21541,0,2.01,1.34,0.11,0.43,0.9,Correct
22000,2.14,-0.49,1.89,0.17,0.95,-0.11,Wrong
22541,0.43,-0.31,1.4,0.13,0.43,0.89,Correct
23000,2.32,0.92,1.53,0.15,0.96,-0.1,Wrong
23541,0.55,-0.92,1.46,0.14,0.43,0.89,Correct
24000,0.73,0.18,1.95,0.15,0.96,-0.09,Wrong
24541,0.92,-0.92,1.34,0.13,0.43,0.89,Correct
25000,0,-0.37,1.53,0.16,0.97,-0.09,Wrong
25541,0.98,-1.1,1.34,0.13,0.43,0.89,Correct
26000,0.55,-0.98,1.22,0.15,0.96,-0.11,Wrong
26541,0.92,-0.61,1.59,0.13,0.43,0.89,Correct
27000,0.85,-1.4,1.1,0.15,0.96,-0.1,Wrong
27541,0.92,-0.67,1.59,0.13,0.43,0.89,Correct
28000,2.5,-1.28,1.83,0.17,0.96,-0.08,Wrong
28222,0.79,-0.37,1.77,0.12,0.13,0.99,Wrong
28541,0.92,-0.49,1.34,0.13,0.43,0.89,Correct
29000,0.24,-2.75,2.01,0.18,0.95,-0.06,Wrong
29222,0.73,-0.73,1.77,0.12,0.13,0.99,Wrong
29541,0.92,-0.92,1.4,0.13,0.43,0.89,Correct
30000,1.77,-1.4,2.01,0.14,0.97,-0.06,Wrong
30222,0.85,-0.67,1.53,0.12,0.13,0.99,Wrong
30541,0.61,-0.61,1.22,0.13,0.43,0.89,Correct
30646,1.22,-4.27,1.53,-0.07,0.86,0.49,Correct
31000,0.67,-1.59,0.67,0.13,0.97,-0.04,Wrong
31222,0.67,-0.73,1.53,0.12,0.13,0.99,Wrong
31541,0.92,-0.73,1.53,0.13,0.43,0.89,Correct
31646,0.79,-0.61,1.71,-0.08,0.86,0.48,Correct
32000,0.37,0.31,1.71,0.13,0.97,-0.05,Wrong
32222,0.85,-1.16,1.46,0.13,0.14,0.99,Wrong
32541,0.49,-0.85,1.4,0.13,0.43,0.89,Correct
32646,0.67,-0.85,1.59,-0.08,0.86,0.48,Correct
33000,0.31,-0.67,1.1,0.14,0.96,-0.05,Wrong
33222,0.98,-0.73,1.65,0.12,0.14,0.99,Wrong
33541,0.79,-1.28,1.34,0.13,0.43,0.89,Correct
33646,0.92,-1.04,1.4,-0.08,0.86,0.49,Correct
34000,1.59,-0.85,2.14,0.15,0.97,-0.05,Wrong
34222,0.73,-0.67,1.77,0.12,0.14,0.99,Wrong
34541,0.92,-0.85,1.46,0.12,0.43,0.89,Correct
34646,0.79,-1.1,1.53,-0.07,0.86,0.48,Correct
35000,1.04,-2.01,0.31,0.14,0.97,-0.05,Wrong
35222,0.67,-0.67,1.95,0.13,0.15,0.99,Wrong
35541,0.55,-0.92,1.4,0.13,0.43,0.89,Correct
